Date,Open,High,Low,Close,Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d
12/11/13,39688.19141,39757.91016,39311.08984,39594.64063,231543600,13.174,-0.003251878,0.000856205,0.000957345,0.1282,0.0029,-0.0045,0.037885,0.00012,-1.00E-05,-0.002282
13/11/13,39594.08984,39793.48047,39136.14844,39765.92188,266106000,13.00551,-0.012789586,-0.015999873,-0.012210738,0.1252,-0.003,-0.0015,0.037826,-5.90E-05,-2.40E-05,-0.002307
14/11/13,39765.92188,40393.78125,39662.96875,40306.69922,211574300,12.95606,-0.003802235,-0.016543191,-0.019983737,0.1237,-0.0015,-0.0154,0.037813,-1.30E-05,-7.00E-06,-0.002287
15/11/13,40306.05078,41281.10156,40294.82031,41034.10938,248740800,12.9273,-0.002219811,-0.006013605,-0.017886107,0.1219,-0.0018,-0.0071,0.037775,-3.80E-05,0,-0.002325
19/11/13,41028.37891,41028.37891,40481.35156,40643.25,128962800,12.9461,0.004530673,0.001454287,-0.017299226,0.1339,0.0029,0.0057,0.037975,0.0002,0.00021,-0.002145
20/11/13,40641.30859,40946.83984,40594.98047,40795.55859,260299800,13.08283,0.010561482,0.015140005,0.005945172,0.134,0.0001,0.0088,0.037937,-3.80E-05,5.20E-05,-0.002144
21/11/13,40797.73828,41157.87109,40714.67188,40998.37109,305459600,13.0199,-0.004810121,0.005700558,0.004927424,0.1266,-0.0074,0.0029,0.03792,-1.70E-05,9.40E-05,-0.002095
22/11/13,40998.80859,41253.23828,40919.53906,41199.01953,228088000,12.9602,-0.004585289,-0.009373354,0.002545002,0.1226,-0.004,0.0007,0.037911,-9.00E-06,9.80E-05,-0.002124
25/11/13,41203.37891,41280.78906,40947.92969,40948.35938,165286800,13.03587,0.005838644,0.001226584,0.011496224,0.1279,0.0053,-0.0031,0.038065,0.000154,0.00029,-0.001702
26/11/13,40949.35156,41044.92969,40666.30859,41002.67969,476615300,13.05348,0.001350888,0.00719742,0.00829439,0.1281,0.0002,-0.0058,0.037982,-8.30E-05,7.00E-06,1.00E-05
27/11/13,40998.58984,41874.26953,40988.39063,41872.58984,230624100,13.11496,0.004709855,0.006067106,0.002455891,0.1298,0.0017,-0.0042,0.038018,3.60E-05,8.10E-05,0.000118
28/11/13,41873.14063,42193.62109,41806.60156,42160.42188,63042600,13.06094,-0.00411896,0.000571495,0.003152098,0.1298, -   ,0.0032,0.038009,-9.00E-06,8.90E-05,0.000189
29/11/13,42160.96094,42575.62109,42002.71094,42499.12891,230934600,13.09917,0.002927048,-0.001203969,0.010722828,0.137,0.0072,0.0144,0.03802,1.10E-05,0.000109,0.000239
02/12/13,42493.55859,42665.37109,42135.82813,42138.55078,129380700,13.20058,0.007741712,0.01069142,0.012635137,0.1423,0.0053,0.0144,0.03796,-6.00E-05,-0.000105,0.000107
03/12/13,42138.55078,42139.10938,41678.10156,41876.85938,158724400,13.10081,-0.007558001,0.000125199,0.003625853,0.1455,0.0032,0.0174,0.0379,-6.00E-05,-8.20E-05,8.80E-05
04/12/13,41865.67969,42137.92969,41542.80859,42003.64844,230315600,13.04209,-0.004482166,-0.012006291,-0.00555625,0.147,0.0015,0.0172,0.037862,-3.80E-05,-0.000156,-3.30E-05
05/12/13,41992.19922,42441.76172,41779.23828,41910.07813,238964200,13.08584,0.003354524,-0.001142677,0.001906448,0.1508,0.0038,0.021,0.037877,1.50E-05,-0.000132,2.70E-05
06/12/13,41910.98828,42574.10156,41910.98828,41925.53906,287526300,12.92329,-0.012421824,-0.009108969,-0.013426805,0.1379,-0.0129,0.0009,0.037888,1.10E-05,-0.000132,6.80E-05
09/12/13,41942.17188,42513.94922,41847.83984,42289.23047,217924700,12.83749,-0.006639176,-0.018978529,-0.02750561,0.1349,-0.003,-0.0074,0.037919,3.10E-05,-4.10E-05,0.000144
10/12/13,42302.60156,42539.57031,42211.23047,42490.10156,283747100,12.8493,0.000919962,-0.005725322,-0.01919805,0.1391,0.0042,-0.0064,0.037859,-6.00E-05,-4.10E-05,9.40E-05
